Atomic Number	Atomic Symbol	Mass Number	Monoisotopic Mass	Monoisotopic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight	Standard Weight Uncertainty	Notes
44	Ru	101	100.9055769	12	0.1706	2	101.07	2	g
44	Ru	102	101.9043441	12	0.3155	14	101.07	2	g
44	Ru	104	103.9054275	28	0.1862	27	101.07	2	g
45	Rh	103	102.905498	26	1		102.9055	2	
46	Pd	102	101.9056022	28	0.0102	1	106.42	1	g
46	Pd	104	103.9040305	14	0.1114	8	106.42	1	g
46	Pd	105	104.9050796	12	0.2233	8	106.42	1	g
46	Pd	106	105.9034804	12	0.2733	3	106.42	1	g
46	Pd	108	107.9038916	12	0.2646	9	106.42	1	g
46	Pd	110	109.9051722	75	0.1172	9	106.42	1	g
47	Ag	107	106.9050916	26	0.51839	8	107.8682	2	g
47	Ag	109	108.9047553	14	0.48161	8	107.8682	2	g
48	Cd	106	105.9064599	12	0.0125	6	112.414	4	g
48	Cd	108	107.9041834	12	0.0089	3	112.414	4	g
48	Cd	110	109.90300661	61	0.1249	18	112.414	4	g
48	Cd	111	110.90418287	61	0.128	12	112.414	4	g
48	Cd	112	111.90276287	60	0.2413	21	112.414	4	g
48	Cd	113	112.90440813	45	0.1222	12	112.414	4	g
48	Cd	114	113.90336509	43	0.2873	42	112.414	4	g
48	Cd	116	115.90476315	17	0.0749	18	112.414	4	g
49	In	113	112.90406184	91	0.0429	5	114.818	1	
49	In	115	114.903878776	12	0.9571	5	114.818	1	
50	Sn	112	111.90482387	61	0.0097	1	118.71	7	g
50	Sn	114	113.9027827	10	0.0066	1	118.71	7	g
50	Sn	115	114.903344699	16	0.0034	1	118.71	7	g
50	Sn	116	115.9017428	10	0.1454	9	118.71	7	g
50	Sn	117	116.90295398	52	0.0768	7	118.71	7	g
50	Sn	118	117.90160657	54	0.2422	9	118.71	7	g
50	Sn	119	118.90331117	78	0.0859	4	118.71	7	g
50	Sn	120	119.90220163	97	0.3258	9	118.71	7	g
50	Sn	122	121.9034438	26	0.0463	3	118.71	7	g
50	Sn	124	123.9052766	11	0.0579	5	118.71	7	g
51	Sb	121	120.903812	30	0.5721	5	121.76	1	g
51	Sb	123	122.9042132	23	0.4279	5	121.76	1	g
52	Te	120	119.9040593	33	0.0009	1	127.6	3	g
52	Te	122	121.9030435	16	0.0255	12	127.6	3	g
52	Te	123	122.9042698	16	0.0089	3	127.6	3	g
52	Te	124	123.9028171	16	0.0474	14	127.6	3	g
52	Te	125	124.9044299	16	0.0707	15	127.6	3	g
52	Te	126	125.9033109	16	0.1884	25	127.6	3	g
52	Te	128	127.90446128	93	0.3174	8	127.6	3	g
52	Te	130	129.906222748	12	0.3408	62	127.6	3	g
53	I	127	126.9044719	39	1		126.90447	3	
54	Xe	124	123.905892	19	0.000952	3	131.293	6	g,m
54	Xe	126	125.9042983	38	0.00089	2	131.293	6	g,m
54	Xe	128	127.903531	11	0.019102	8	131.293	6	g,m
54	Xe	129	128.9047808611	60	0.264006	82	131.293	6	g,m
54	Xe	130	129.903509349	10	0.04071	13	131.293	6	g,m
54	Xe	131	130.90508406	24	0.212324	30	131.293	6	g,m
54	Xe	132	131.9041550856	56	0.269086	33	131.293	6	g,m
54	Xe	134	133.90539466	90	0.104357	21	131.293	6	g,m
54	Xe	136	135.907214484	11	0.088573	44	131.293	6	g,m
55	Cs	133	132.905451961	80	1		132.90545196	6	
56	Ba	130	129.9063207	28	0.00106	1	137.327	7	
56	Ba	132	131.9050611	11	0.00101	1	137.327	7	
56	Ba	134	133.90450818	30	0.02417	18	137.327	7	
56	Ba	135	134.90568838	29	0.06592	12	137.327	7	
56	Ba	136	135.90457573	29	0.07854	24	137.327	7	
56	Ba	137	136.90582714	30	0.11232	24	137.327	7	
56	Ba	138	137.905247	31	0.71698	42	137.327	7	
57	La	138	137.9071149	37	0.0008881	71	138.90547	7	g
57	La	139	138.9063563	24	0.9991119	71	138.90547	7	g
58	Ce	136	135.90712921	41	0.00185	2	140.116	1	g
58	Ce	138	137.905991	11	0.00251	2	140.116	1	g
58	Ce	140	139.9054431	23	0.8845	51	140.116	1	g
58	Ce	142	141.9092504	29	0.11114	51	140.116	1	g
59	Pr	141	140.9076576	23	1		140.90766	2	
60	Nd	142	141.907729	20	0.27152	40	144.242	3	g
60	Nd	143	142.90982	20	0.12174	26	144.242	3	g
60	Nd	144	143.910093	20	0.23798	19	144.242	3	g
60	Nd	145	144.9125793	20	0.08293	12	144.242	3	g
60	Nd	146	145.9131226	20	0.17189	32	144.242	3	g
60	Nd	148	147.9168993	26	0.05756	21	144.242	3	g
60	Nd	150	149.9209022	18	0.05638	28	144.242	3	g
61	Pm	145	144.9127559	33			145		
61	Pm	147	146.915145	19			145		
62	Sm	144	143.9120065	21	0.0307	7	150.36	2	g
62	Sm	147	146.9149044	19	0.1499	18	150.36	2	g
62	Sm	148	147.9148292	19	0.1124	10	150.36	2	g
62	Sm	149	148.9171921	18	0.1382	7	150.36	2	g
62	Sm	150	149.9172829	18	0.0738	1	150.36	2	g
62	Sm	152	151.9197397	18	0.2675	16	150.36	2	g
62	Sm	154	153.9222169	20	0.2275	29	150.36	2	g
63	Eu	151	150.9198578	18	0.4781	6	151.964	1	g
63	Eu	153	152.921238	18	0.5219	6	151.964	1	g
64	Gd	152	151.9197995	18	0.002	1	157.25	3	g
64	Gd	154	153.9208741	17	0.0218	3	157.25	3	g
64	Gd	155	154.9226305	17	0.148	12	157.25	3	g
64	Gd	156	155.9221312	17	0.2047	9	157.25	3	g
64	Gd	157	156.9239686	17	0.1565	2	157.25	3	g
64	Gd	158	157.9241123	17	0.2484	7	157.25	3	g
64	Gd	160	159.9270624	18	0.2186	19	157.25	3	g
65	Tb	159	158.9253547	19	1		158.92535	2	
66	Dy	156	155.9242847	17	0.00056	3	162.5	1	g
66	Dy	158	157.9244159	31	0.00095	3	162.5	1	g
66	Dy	160	159.9252046	20	0.02329	18	162.5	1	g
66	Dy	161	160.9269405	20	0.18889	42	162.5	1	g
66	Dy	162	161.9268056	20	0.25475	36	162.5	1	g
66	Dy	163	162.9287383	20	0.24896	42	162.5	1	g
66	Dy	164	163.9291819	20	0.2826	54	162.5	1	g
67	Ho	165	164.9303288	21	1		164.93033	2	
68	Er	162	161.9287884	20	0.00139	5	167.259	3	g
68	Er	164	163.9292088	20	0.01601	3	167.259	3	g
68	Er	166	165.9302995	22	0.33503	36	167.259	3	g
68	Er	167	166.9320546	22	0.22869	9	167.259	3	g
68	Er	168	167.9323767	22	0.26978	18	167.259	3	g
68	Er	170	169.9354702	26	0.1491	36	167.259	3	g
69	Tm	169	168.9342179	22	1		168.93422	2	
70	Yb	168	167.9338896	22	0.00123	3	173.054	5	g
70	Yb	170	169.9347664	22	0.02982	39	173.054	5	g
70	Yb	171	170.9363302	22	0.1409	14	173.054	5	g
70	Yb	172	171.9363859	22	0.2168	13	173.054	5	g
70	Yb	173	172.9382151	22	0.16103	63	173.054	5	g
70	Yb	174	173.9388664	22	0.32026	80	173.054	5	g
70	Yb	176	175.9425764	24	0.12996	83	173.054	5	g
71	Lu	175	174.9407752	20	0.97401	13	174.9668	1	g
71	Lu	176	175.9426897	20	0.02599	13	174.9668	1	g
72	Hf	174	173.9400461	28	0.0016	1	178.49	2	
72	Hf	176	175.9414076	22	0.0526	7	178.49	2	
72	Hf	177	176.9432277	20	0.186	9	178.49	2	
72	Hf	178	177.9437058	20	0.2728	7	178.49	2	
72	Hf	179	178.9458232	20	0.1362	2	178.49	2	
72	Hf	180	179.946557	20	0.3508	16	178.49	2	
73	Ta	180	179.9474648	24	0.0001201	32	180.94788	2	
73	Ta	181	180.9479958	20	0.9998799	32	180.94788	2	
74	W	180	179.9467108	20	0.0012	1	183.84	1	
74	W	182	181.94820394	91	0.265	16	183.84	1	
74	W	183	182.95022275	90	0.1431	4	183.84	1	
74	W	184	183.95093092	94	0.3064	2	183.84	1	
74	W	186	185.9543628	17	0.2843	19	183.84	1	
75	Re	185	184.9529545	13	0.374	2	186.207	1	
75	Re	187	186.9557501	16	0.626	2	186.207	1	
76	Os	184	183.9524885	14	0.0002	1	190.23	3	g
76	Os	186	185.953835	16	0.0159	3	190.23	3	g
76	Os	187	186.9557474	16	0.0196	2	190.23	3	g
76	Os	188	187.9558352	16	0.1324	8	190.23	3	g
76	Os	189	188.9581442	17	0.1615	5	190.23	3	g
76	Os	190	189.9584437	17	0.2626	2	190.23	3	g
76	Os	192	191.961477	29	0.4078	19	190.23	3	g
77	Ir	191	190.9605893	21	0.373	2	192.217	3	
77	Ir	193	192.9629216	21	0.627	2	192.217	3	
78	Pt	190	189.9599297	63	0.00012	2	195.084	9	
78	Pt	192	191.9610387	32	0.00782	24	195.084	9	
78	Pt	194	193.9626809	10	0.3286	40	195.084	9	
78	Pt	195	194.9647917	10	0.3378	24	195.084	9	
78	Pt	196	195.96495209	99	0.2521	34	195.084	9	
78	Pt	198	197.9678949	23	0.07356	130	195.084	9	
79	Au	197	196.96656879	71	1		196.966569	5	
80	Hg	196	195.9658326	32	0.0015	1	200.592	3	
80	Hg	198	197.9667686	52	0.0997	20	200.592	3	
80	Hg	199	198.96828064	46	0.1687	22	200.592	3	
80	Hg	200	199.96832659	47	0.231	19	200.592	3	
80	Hg	201	200.97030284	69	0.1318	9	200.592	3	
80	Hg	202	201.9706434	69	0.2986	26	200.592	3	
80	Hg	204	203.97349398	53	0.0687	15	200.592	3	
81	Tl	203	202.9723446	14	0.2952	1	204.3835	0.0015	
81	Tl	205	204.9744278	14	0.7048	1	204.3835	0.0015	
82	Pb	204	203.973044	13	0.014	1	207.2	1	g,r
82	Pb	206	205.9744657	13	0.241	1	207.2	1	g,r
82	Pb	207	206.9758973	13	0.221	1	207.2	1	g,r
82	Pb	208	207.9766525	13	0.524	1	207.2	1	g,r
83	Bi	209	208.9803991	16	1		208.9804	1	
84	Po	209	208.9824308	20			209		
84	Po	210	209.9828741	13			209		
85	At	210	209.9871479	83			210		
85	At	211	210.9874966	30			210		
86	Rn	211	210.9906011	73			222		
86	Rn	220	220.0113941	23			222		
86	Rn	222	222.0175782	25			222		
87	Fr	223	223.019736	25			223		
88	Ra	223	223.0185023	27			226		
88	Ra	224	224.020212	23			226		
88	Ra	226	226.0254103	25			226		
88	Ra	228	228.0310707	26			226		
89	Ac	227	227.0277523	25			227		
90	Th	230	230.0331341	19			232.0377	4	g
90	Th	232	232.0380558	21	1		232.0377	4	g
91	Pa	231	231.0358842	24	1		231.03588	2	
92	U	233	233.0396355	29			238.02891	3	g,m
92	U	234	234.0409523	19	5.4E-05	5	238.02891	3	g,m
92	U	235	235.0439301	19	0.007204	6	238.02891	3	g,m
92	U	236	236.0455682	19			238.02891	3	g,m
92	U	238	238.0507884	20	0.992742	10	238.02891	3	g,m
93	Np	236	236.04657	54			237		
93	Np	237	237.0481736	19			237		
94	Pu	238	238.0495601	19			244		
94	Pu	239	239.0521636	19			244		
94	Pu	240	240.0538138	19			244		
94	Pu	241	241.0568517	19			244		
94	Pu	242	242.0587428	20			244		
94	Pu	244	244.0642053	56			244		
95	Am	241	241.0568293	19					
95	Am	243	243.0613813	24					
96	Cm	243	243.0613893	22					
96	Cm	244	244.0627528	19					
96	Cm	245	245.0654915	22					
96	Cm	246	246.0672238	22					
96	Cm	247	247.0703541	47					
96	Cm	248	248.0723499	56					
97	Bk	247	247.0703073	59					
97	Bk	249	249.0749877	27					
98	Cf	249	249.0748539	23					
98	Cf	250	250.0764062	22					
98	Cf	251	251.0795886	48					
98	Cf	252	252.0816272	56					
99	Es	252	252.08298	54					
100	Fm	257	257.0951061	69					
101	Md	258	258.0984315	50					
101	Md	260	260.10365	34					
102	No	259	259.10103	11					
103	Lr	262	262.10961	22					
104	Rf	267	267.12179	62					
105	Db	268	268.12567	57					
106	Sg	271	271.13393	63					
107	Bh	272	272.13826	58					
108	Hs	270	270.13429	27					
109	Mt	276	276.15159	59					
110	Ds	281	281.16451	59					
111	Rg	280	280.16514	61					
112	Cn	285	285.17712	60					
113	Nh	284	284.17873	62					
114	Fl	289	289.19042	60					
115	Mc	288	288.19274	62					
116	Lv	293	293.20449	60					
117	Ts	292	292.20746	75					
118	Og	294	294.21392	71					
